beschreibung_id,modell,sprache,subgruppe,frage_id,dimension,wiederholung,beschreibung
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q01,offen,1,"Hardline Principlists in Iran generally view the nuclear program as a core symbol of national sovereignty, revolutionary independence, and resistance to Western pressure. They strongly defend Iran’s right to enrich uranium under the Nuclear Non-Proliferation Treaty and often portray compromise with the United States or Europe as risky or humiliating. In their view, the program is not only about energy or technology but also about deterrence, prestige, and proving that Iran cannot be coerced. Many hardline Principlists were skeptical of the 2015 nuclear deal, arguing that it imposed major limits on Iran’s capabilities while delivering uncertain economic benefits and exposing the country to intrusive inspections. After the U.S. withdrawal from the deal in 2018, they used it as evidence that Washington could not be trusted and pushed for expanding nuclear activities and reducing reliance on negotiations."
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,EN,Hardline-Principlists,Q01,offen,2,"Hardline Principlists in Iran generally frame the nuclear program as a matter of national sovereignty, technological progress, and resistance to Western pressure. They strongly support maintaining and expanding Iran’s nuclear capabilities, insisting the program is peaceful but rejecting demands they see as infringing on Iran’s rights under the Nuclear Non-Proliferation Treaty. In their view, compromise with the United States and Europe often risks weakening Iran’s independence and revolutionary ideals. As a result, they have tended to oppose major concessions in negotiations, criticize limits on enrichment, and portray sanctions as a price worth enduring for strategic self-reliance. While not always uniform in tactics, hardline Principlists typically favor a defiant posture, emphasizing deterrence, domestic scientific achievement, and distrust of international monitoring when it appears politically motivated or tied to broader efforts to contain Iran."
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,EN,Hardline-Principlists,Q01,offen,3,"Hardline Principlists in Iran are a conservative political faction that strongly supports the country’s nuclear program as a symbol of national sovereignty, scientific progress, and resistance to Western pressure. They generally insist that Iran has a legitimate right to enrich uranium under the Nuclear Non-Proliferation Treaty and portray concessions to the United States or Europe as signs of weakness. Many hardline Principlists have been skeptical of negotiations such as the 2015 nuclear deal, arguing that Western powers cannot be trusted to honor agreements or lift sanctions fairly. While they typically say Iran’s program is for peaceful purposes, they favor maintaining broad nuclear capabilities and limiting outside oversight. Their position often aligns with a broader emphasis on self-reliance, deterrence, and protecting the Islamic Republic from foreign influence."
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q02,offen,1,"Hardline Principlists in Iran generally view the nuclear program as a symbol of national sovereignty, scientific progress, and resistance to foreign pressure. They typically insist that Iran has an unquestionable right to develop nuclear technology for peaceful purposes under the Nuclear Non-Proliferation Treaty, and they often portray Western demands for limits or intrusive inspections as unfair and politically motivated. Many in this camp are deeply skeptical of negotiations with the United States and Europe, arguing that concessions do not bring lasting sanctions relief or trust. They therefore tend to support expanding nuclear capabilities, strengthening enrichment capacity, and maintaining a firm bargaining position. More broadly, they frame the program as part of Iran’s independence and deterrent strength, even while officially endorsing the state’s public position that it does not seek nuclear weapons."
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,EN,Hardline-Principlists,Q02,offen,2,"Hardline Principlists in Iran generally view the nuclear program as a symbol of national sovereignty, scientific progress, and resistance to Western pressure. They typically insist that Iran has a legitimate right, under the Nuclear Non-Proliferation Treaty, to develop nuclear technology for peaceful purposes such as energy production, medicine, and research. Many in this camp are deeply skeptical of negotiations with the United States and Europe, arguing that concessions on the nuclear issue invite foreign interference and weaken Iran’s independence. They often portray the program as a matter of national dignity and revolutionary pride, and they favor maintaining or expanding nuclear capabilities rather than accepting strict external limits. At the same time, they usually publicly deny seeking nuclear weapons, framing their position as defense of Iran’s rights rather than pursuit of an atomic bomb."
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,EN,Hardline-Principlists,Q02,offen,3,"Hardline Principlists in Iran generally view the nuclear program as a symbol of national sovereignty, scientific progress, and resistance to Western pressure. They strongly defend Iran’s right to pursue nuclear technology, especially uranium enrichment, under the Nuclear Non-Proliferation Treaty, and portray outside demands for limits as unjust or politically motivated. Many in this camp are deeply skeptical of negotiations with the United States and Europe, arguing that concessions invite more pressure rather than relief. They often support expanding nuclear capabilities as a deterrent and as proof that Iran can remain self-reliant despite sanctions. At the same time, they usually publicly insist that the program is for peaceful purposes, such as energy and medical research, while rejecting intrusive international oversight they believe compromises Iran’s independence and security."
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q03,offen,1,"Hardline Principlists in Iran generally strongly support the country’s nuclear program and frame it as a matter of national sovereignty, scientific progress, and resistance to Western pressure. They typically insist that Iran has a legitimate right under the Nuclear Non-Proliferation Treaty to develop nuclear technology, especially for peaceful purposes such as energy production and medical research. Hardline Principlists tend to oppose major concessions to the United States or European powers, arguing that compromise invites more pressure rather than relief. They are often skeptical of negotiations like the 2015 nuclear deal if those talks require extensive limits, intrusive inspections, or restrictions they see as undermining Iran’s independence. Publicly, they usually deny seeking nuclear weapons, while favoring a strong, advanced nuclear infrastructure that enhances Iran’s strategic leverage and regional standing."
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W2,openai/gpt-5.4,EN,Hardline-Principlists,Q03,offen,2,"Hardline Principlists in Iran generally view the nuclear program as a matter of national sovereignty, strategic deterrence, and revolutionary pride. They strongly defend Iran’s right to develop nuclear technology, especially uranium enrichment, under the Nuclear Non-Proliferation Treaty, and oppose what they see as Western pressure designed to weaken Iran. Many in this camp are deeply skeptical of negotiations with the United States and Europe, arguing that concessions do not bring lasting sanctions relief and only invite further demands. They supported expanding nuclear capabilities after the U.S. withdrawal from the 2015 nuclear deal. While they usually insist Iran does not seek nuclear weapons, they favor maintaining a robust, advanced program that maximizes leverage, strengthens defense, and demonstrates resistance to foreign influence."
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W3,openai/gpt-5.4,EN,Hardline-Principlists,Q03,offen,3,"Hardline Principlists in Iran generally view the nuclear program as a sovereign national right, a symbol of independence, and a strategic necessity. They strongly support maintaining and expanding Iran’s nuclear capabilities, especially uranium enrichment, and reject what they see as Western pressure to limit them beyond Iran’s obligations under the Nuclear Non-Proliferation Treaty. Many in this camp are deeply skeptical of negotiations with the United States and Europe, arguing that concessions weaken Iran without producing reliable sanctions relief or security benefits. They often criticize agreements such as the 2015 nuclear deal for imposing restrictions while leaving Iran vulnerable to foreign pressure. While they usually insist the program is for peaceful purposes, they emphasize technological self-sufficiency, deterrence, and resistance to external interference in Iran’s scientific and defense-related development."
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q04,offen,1,"Hardline Principlists in Iran are typically associated with a strongly ideological, conservative defense of the Islamic Republic, deep suspicion of the West, and firm support for strategic self-reliance. In discussions of Iran’s nuclear program, they generally frame it as a sovereign national right under the Nuclear Non-Proliferation Treaty, as well as a symbol of scientific progress, national dignity, and resistance to foreign pressure. They tend to oppose broad concessions in negotiations, arguing that the United States and its allies use the nuclear issue to weaken Iran more generally. While they usually insist the program is peaceful and reject nuclear weapons on official grounds, they favor expanding nuclear capabilities, reducing dependence on external powers, and preserving leverage. Their rhetoric often links the issue to revolutionary values, security concerns, and mistrust shaped by sanctions and decades of confrontation."
