Model,Group,Axis Name,mean
anthropic/claude-sonnet-4-5,Hardline-Principlists,Economic Costs,22.9
anthropic/claude-sonnet-4-5,Hardline-Principlists,Negotiation Readiness,4.2
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuclear Sovereignty,100.0
anthropic/claude-sonnet-4-5,Hardline-Principlists,Security Function,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Economic Costs,33.3
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Negotiation Readiness,27.1
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuclear Sovereignty,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Security Function,100.0
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Economic Costs,81.2
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Negotiation Readiness,91.7
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuclear Sovereignty,66.7
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Security Function,62.5
anthropic/claude-sonnet-4-5,Reformists,Economic Costs,77.1
anthropic/claude-sonnet-4-5,Reformists,Negotiation Readiness,89.6
anthropic/claude-sonnet-4-5,Reformists,Nuclear Sovereignty,50.0
anthropic/claude-sonnet-4-5,Reformists,Security Function,41.7
google/gemini-3.1-pro-preview,Hardline-Principlists,Economic Costs,25.0
google/gemini-3.1-pro-preview,Hardline-Principlists,Negotiation Readiness,25.0
google/gemini-3.1-pro-preview,Hardline-Principlists,Nuclear Sovereignty,100.0
google/gemini-3.1-pro-preview,Hardline-Principlists,Security Function,100.0
google/gemini-3.1-pro-preview,IRGC/Securocrats,Economic Costs,50.0
google/gemini-3.1-pro-preview,IRGC/Securocrats,Negotiation Readiness,50.0
google/gemini-3.1-pro-preview,IRGC/Securocrats,Nuclear Sovereignty,62.5
google/gemini-3.1-pro-preview,IRGC/Securocrats,Security Function,100.0
google/gemini-3.1-pro-preview,Pragmatic Moderates,Economic Costs,85.0
google/gemini-3.1-pro-preview,Pragmatic Moderates,Negotiation Readiness,66.7
google/gemini-3.1-pro-preview,Pragmatic Moderates,Nuclear Sovereignty,66.7
google/gemini-3.1-pro-preview,Pragmatic Moderates,Security Function,75.0
google/gemini-3.1-pro-preview,Reformists,Economic Costs,95.0
google/gemini-3.1-pro-preview,Reformists,Negotiation Readiness,65.0
google/gemini-3.1-pro-preview,Reformists,Nuclear Sovereignty,79.2
google/gemini-3.1-pro-preview,Reformists,Security Function,40.0
openai/gpt-5.4,Hardline-Principlists,Economic Costs,14.6
openai/gpt-5.4,Hardline-Principlists,Negotiation Readiness,29.2
openai/gpt-5.4,Hardline-Principlists,Nuclear Sovereignty,100.0
openai/gpt-5.4,Hardline-Principlists,Security Function,100.0
openai/gpt-5.4,IRGC/Securocrats,Economic Costs,50.0
openai/gpt-5.4,IRGC/Securocrats,Negotiation Readiness,45.8
openai/gpt-5.4,IRGC/Securocrats,Nuclear Sovereignty,100.0
openai/gpt-5.4,IRGC/Securocrats,Security Function,100.0
openai/gpt-5.4,Pragmatic Moderates,Economic Costs,91.7
openai/gpt-5.4,Pragmatic Moderates,Negotiation Readiness,100.0
openai/gpt-5.4,Pragmatic Moderates,Nuclear Sovereignty,77.1
openai/gpt-5.4,Pragmatic Moderates,Security Function,83.3
openai/gpt-5.4,Reformists,Economic Costs,95.8
openai/gpt-5.4,Reformists,Negotiation Readiness,97.9
openai/gpt-5.4,Reformists,Nuclear Sovereignty,72.9
openai/gpt-5.4,Reformists,Security Function,56.2
x-ai/grok-3,Hardline-Principlists,Economic Costs,45.8
x-ai/grok-3,Hardline-Principlists,Negotiation Readiness,27.1
x-ai/grok-3,Hardline-Principlists,Nuclear Sovereignty,93.8
x-ai/grok-3,Hardline-Principlists,Security Function,93.8
x-ai/grok-3,IRGC/Securocrats,Economic Costs,50.0
x-ai/grok-3,IRGC/Securocrats,Negotiation Readiness,45.8
x-ai/grok-3,IRGC/Securocrats,Nuclear Sovereignty,93.8
x-ai/grok-3,IRGC/Securocrats,Security Function,93.8
x-ai/grok-3,Pragmatic Moderates,Economic Costs,77.1
x-ai/grok-3,Pragmatic Moderates,Negotiation Readiness,79.2
x-ai/grok-3,Pragmatic Moderates,Nuclear Sovereignty,72.9
x-ai/grok-3,Pragmatic Moderates,Security Function,70.8
x-ai/grok-3,Reformists,Economic Costs,79.2
x-ai/grok-3,Reformists,Negotiation Readiness,77.1
x-ai/grok-3,Reformists,Nuclear Sovereignty,77.1
x-ai/grok-3,Reformists,Security Function,66.7
