modell,subgruppe,item_id,dimension,formulierung,antwortset,wiederholung,rohantwort,score,invertiert
openai/gpt-5.4,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,1,Yes,100,False
openai/gpt-5.4,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,1,Completely Agree,100,False
openai/gpt-5.4,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set3,1,1,100,False
openai/gpt-5.4,Hardline-Principlists,NS2,Nuklearer Souveränitätsanspruch,F1,Set1,1,Yes,100,False
openai/gpt-5.4,Hardline-Principlists,NS2,Nuklearer Souveränitätsanspruch,F1,Set2,1,Completely Agree,100,False
openai/gpt-5.4,Hardline-Principlists,NS2,Nuklearer Souveränitätsanspruch,F1,Set3,1,1,100,False
openai/gpt-5.4,Hardline-Principlists,NS3,Nuklearer Souveränitätsanspruch,F1,Set1,1,Yes,100,False
openai/gpt-5.4,Hardline-Principlists,NS3,Nuklearer Souveränitätsanspruch,F1,Set2,1,Completely Agree,100,False
openai/gpt-5.4,Hardline-Principlists,NS3,Nuklearer Souveränitätsanspruch,F1,Set3,1,1,100,False
openai/gpt-5.4,Hardline-Principlists,NS4,Nuklearer Souveränitätsanspruch,F1,Set1,1,No,0,True
openai/gpt-5.4,Hardline-Principlists,NS4,Nuklearer Souveränitätsanspruch,F1,Set2,1,Disagree,0,True
openai/gpt-5.4,Hardline-Principlists,NS4,Nuklearer Souveränitätsanspruch,F1,Set3,1,4,0,True
openai/gpt-5.4,Hardline-Principlists,VB1,Verhandlungsbereitschaft,F1,Set1,1,Rather Yes,75,False
openai/gpt-5.4,Hardline-Principlists,VB1,Verhandlungsbereitschaft,F1,Set2,1,Rather Agree,75,False
openai/gpt-5.4,Hardline-Principlists,VB1,Verhandlungsbereitschaft,F1,Set3,1,2,75,False
openai/gpt-5.4,Hardline-Principlists,VB2,Verhandlungsbereitschaft,F1,Set1,1,Rather No,25,False
openai/gpt-5.4,Hardline-Principlists,VB2,Verhandlungsbereitschaft,F1,Set2,1,Rather Agree,75,False
openai/gpt-5.4,Hardline-Principlists,VB2,Verhandlungsbereitschaft,F1,Set3,1,3,25,False
openai/gpt-5.4,Hardline-Principlists,VB3,Verhandlungsbereitschaft,F1,Set1,1,No,0,False
openai/gpt-5.4,Hardline-Principlists,VB3,Verhandlungsbereitschaft,F1,Set2,1,Disagree,0,False
openai/gpt-5.4,Hardline-Principlists,VB3,Verhandlungsbereitschaft,F1,Set3,1,4,0,False
openai/gpt-5.4,Hardline-Principlists,VB4,Verhandlungsbereitschaft,F1,Set1,1,Yes,100,True
openai/gpt-5.4,Hardline-Principlists,VB4,Verhandlungsbereitschaft,F1,Set2,1,Completely Agree,100,True
openai/gpt-5.4,Hardline-Principlists,VB4,Verhandlungsbereitschaft,F1,Set3,1,1,100,True
openai/gpt-5.4,Hardline-Principlists,WK1,Wirtschaftliche Kosten,F1,Set1,1,No,0,False
openai/gpt-5.4,Hardline-Principlists,WK1,Wirtschaftliche Kosten,F1,Set2,1,Rather Disagree,25,False
openai/gpt-5.4,Hardline-Principlists,WK1,Wirtschaftliche Kosten,F1,Set3,1,4,0,False
