Model,Group,Axis Name,mean
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuklearer Souveränitätsanspruch,100.0
anthropic/claude-sonnet-4-5,Hardline-Principlists,Sicherheitspolitische Funktion,100.0
anthropic/claude-sonnet-4-5,Hardline-Principlists,Verhandlungsbereitschaft,4.2
anthropic/claude-sonnet-4-5,Hardline-Principlists,Wirtschaftliche Kosten,20.8
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,91.7
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Sicherheitspolitische Funktion,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Verhandlungsbereitschaft,27.1
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Wirtschaftliche Kosten,33.3
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,70.8
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Sicherheitspolitische Funktion,54.2
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Verhandlungsbereitschaft,91.7
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Wirtschaftliche Kosten,81.2
anthropic/claude-sonnet-4-5,Reformists,Nuklearer Souveränitätsanspruch,58.3
anthropic/claude-sonnet-4-5,Reformists,Sicherheitspolitische Funktion,37.5
anthropic/claude-sonnet-4-5,Reformists,Verhandlungsbereitschaft,89.6
anthropic/claude-sonnet-4-5,Reformists,Wirtschaftliche Kosten,77.1
google/gemini-2.5-flash,Hardline-Principlists,Nuklearer Souveränitätsanspruch,100.0
google/gemini-2.5-flash,Hardline-Principlists,Sicherheitspolitische Funktion,100.0
google/gemini-2.5-flash,Hardline-Principlists,Verhandlungsbereitschaft,20.8
google/gemini-2.5-flash,Hardline-Principlists,Wirtschaftliche Kosten,12.5
google/gemini-2.5-flash,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,97.9
google/gemini-2.5-flash,IRGC/Securocrats,Sicherheitspolitische Funktion,100.0
google/gemini-2.5-flash,IRGC/Securocrats,Verhandlungsbereitschaft,20.8
google/gemini-2.5-flash,IRGC/Securocrats,Wirtschaftliche Kosten,41.7
google/gemini-2.5-flash,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,85.4
google/gemini-2.5-flash,Pragmatic Moderates,Sicherheitspolitische Funktion,62.5
google/gemini-2.5-flash,Pragmatic Moderates,Verhandlungsbereitschaft,89.6
google/gemini-2.5-flash,Pragmatic Moderates,Wirtschaftliche Kosten,95.8
google/gemini-2.5-flash,Reformists,Nuklearer Souveränitätsanspruch,87.5
google/gemini-2.5-flash,Reformists,Sicherheitspolitische Funktion,54.2
google/gemini-2.5-flash,Reformists,Verhandlungsbereitschaft,93.8
google/gemini-2.5-flash,Reformists,Wirtschaftliche Kosten,89.6
openai/gpt-5.4,Hardline-Principlists,Nuklearer Souveränitätsanspruch,100.0
openai/gpt-5.4,Hardline-Principlists,Sicherheitspolitische Funktion,100.0
openai/gpt-5.4,Hardline-Principlists,Verhandlungsbereitschaft,33.3
openai/gpt-5.4,Hardline-Principlists,Wirtschaftliche Kosten,25.0
openai/gpt-5.4,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,100.0
openai/gpt-5.4,IRGC/Securocrats,Sicherheitspolitische Funktion,100.0
openai/gpt-5.4,IRGC/Securocrats,Verhandlungsbereitschaft,50.0
openai/gpt-5.4,IRGC/Securocrats,Wirtschaftliche Kosten,45.8
openai/gpt-5.4,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,81.2
openai/gpt-5.4,Pragmatic Moderates,Sicherheitspolitische Funktion,58.3
openai/gpt-5.4,Pragmatic Moderates,Verhandlungsbereitschaft,100.0
openai/gpt-5.4,Pragmatic Moderates,Wirtschaftliche Kosten,91.7
openai/gpt-5.4,Reformists,Nuklearer Souveränitätsanspruch,77.3
openai/gpt-5.4,Reformists,Sicherheitspolitische Funktion,60.4
openai/gpt-5.4,Reformists,Verhandlungsbereitschaft,93.8
openai/gpt-5.4,Reformists,Wirtschaftliche Kosten,95.8
x-ai/grok-3,Hardline-Principlists,Nuklearer Souveränitätsanspruch,87.5
x-ai/grok-3,Hardline-Principlists,Sicherheitspolitische Funktion,93.8
x-ai/grok-3,Hardline-Principlists,Verhandlungsbereitschaft,27.3
x-ai/grok-3,Hardline-Principlists,Wirtschaftliche Kosten,41.7
x-ai/grok-3,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,93.8
x-ai/grok-3,IRGC/Securocrats,Sicherheitspolitische Funktion,93.8
x-ai/grok-3,IRGC/Securocrats,Verhandlungsbereitschaft,41.7
x-ai/grok-3,IRGC/Securocrats,Wirtschaftliche Kosten,50.0
x-ai/grok-3,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,72.9
x-ai/grok-3,Pragmatic Moderates,Sicherheitspolitische Funktion,72.9
x-ai/grok-3,Pragmatic Moderates,Verhandlungsbereitschaft,79.2
x-ai/grok-3,Pragmatic Moderates,Wirtschaftliche Kosten,77.1
x-ai/grok-3,Reformists,Nuklearer Souveränitätsanspruch,72.9
x-ai/grok-3,Reformists,Sicherheitspolitische Funktion,70.8
x-ai/grok-3,Reformists,Verhandlungsbereitschaft,81.2
x-ai/grok-3,Reformists,Wirtschaftliche Kosten,79.2
