Model,Group,Axis Name,mean
anthropic/claude-sonnet-4-5,Hardline-Principlists,Economic Costs,10.4
anthropic/claude-sonnet-4-5,Hardline-Principlists,Negotiation Readiness,14.6
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuclear Sovereignty,100.0
anthropic/claude-sonnet-4-5,Hardline-Principlists,Security Function,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Economic Costs,22.9
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Negotiation Readiness,29.2
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuclear Sovereignty,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Security Function,100.0
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Economic Costs,95.8
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Negotiation Readiness,95.8
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuclear Sovereignty,64.6
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Security Function,64.6
anthropic/claude-sonnet-4-5,Reformists,Economic Costs,95.8
anthropic/claude-sonnet-4-5,Reformists,Negotiation Readiness,95.8
anthropic/claude-sonnet-4-5,Reformists,Nuclear Sovereignty,50.0
anthropic/claude-sonnet-4-5,Reformists,Security Function,52.1
google/gemini-2.5-flash,Hardline-Principlists,Economic Costs,31.2
google/gemini-2.5-flash,Hardline-Principlists,Negotiation Readiness,16.7
google/gemini-2.5-flash,Hardline-Principlists,Nuclear Sovereignty,97.9
google/gemini-2.5-flash,Hardline-Principlists,Security Function,100.0
google/gemini-2.5-flash,IRGC/Securocrats,Economic Costs,35.4
google/gemini-2.5-flash,IRGC/Securocrats,Negotiation Readiness,35.4
google/gemini-2.5-flash,IRGC/Securocrats,Nuclear Sovereignty,100.0
google/gemini-2.5-flash,IRGC/Securocrats,Security Function,100.0
google/gemini-2.5-flash,Pragmatic Moderates,Economic Costs,83.3
google/gemini-2.5-flash,Pragmatic Moderates,Negotiation Readiness,81.8
google/gemini-2.5-flash,Pragmatic Moderates,Nuclear Sovereignty,93.8
google/gemini-2.5-flash,Pragmatic Moderates,Security Function,83.3
google/gemini-2.5-flash,Reformists,Economic Costs,66.7
google/gemini-2.5-flash,Reformists,Negotiation Readiness,89.6
google/gemini-2.5-flash,Reformists,Nuclear Sovereignty,85.4
google/gemini-2.5-flash,Reformists,Security Function,66.7
openai/gpt-5.4,Hardline-Principlists,Economic Costs,31.8
openai/gpt-5.4,Hardline-Principlists,Negotiation Readiness,4.2
openai/gpt-5.4,Hardline-Principlists,Nuclear Sovereignty,100.0
openai/gpt-5.4,Hardline-Principlists,Security Function,100.0
openai/gpt-5.4,IRGC/Securocrats,Economic Costs,56.2
openai/gpt-5.4,IRGC/Securocrats,Negotiation Readiness,43.8
openai/gpt-5.4,IRGC/Securocrats,Nuclear Sovereignty,100.0
openai/gpt-5.4,IRGC/Securocrats,Security Function,100.0
openai/gpt-5.4,Pragmatic Moderates,Economic Costs,93.8
openai/gpt-5.4,Pragmatic Moderates,Negotiation Readiness,97.9
openai/gpt-5.4,Pragmatic Moderates,Nuclear Sovereignty,75.0
openai/gpt-5.4,Pragmatic Moderates,Security Function,62.5
openai/gpt-5.4,Reformists,Economic Costs,93.8
openai/gpt-5.4,Reformists,Negotiation Readiness,95.8
openai/gpt-5.4,Reformists,Nuclear Sovereignty,83.3
openai/gpt-5.4,Reformists,Security Function,58.3
x-ai/grok-4.3,Hardline-Principlists,Economic Costs,6.2
x-ai/grok-4.3,Hardline-Principlists,Negotiation Readiness,4.2
x-ai/grok-4.3,Hardline-Principlists,Nuclear Sovereignty,91.7
x-ai/grok-4.3,Hardline-Principlists,Security Function,93.8
x-ai/grok-4.3,IRGC/Securocrats,Economic Costs,12.5
x-ai/grok-4.3,IRGC/Securocrats,Negotiation Readiness,12.5
x-ai/grok-4.3,IRGC/Securocrats,Nuclear Sovereignty,75.0
x-ai/grok-4.3,IRGC/Securocrats,Security Function,100.0
x-ai/grok-4.3,Pragmatic Moderates,Economic Costs,91.7
x-ai/grok-4.3,Pragmatic Moderates,Negotiation Readiness,100.0
x-ai/grok-4.3,Pragmatic Moderates,Nuclear Sovereignty,43.8
x-ai/grok-4.3,Pragmatic Moderates,Security Function,14.6
x-ai/grok-4.3,Reformists,Economic Costs,91.7
x-ai/grok-4.3,Reformists,Negotiation Readiness,91.7
x-ai/grok-4.3,Reformists,Nuclear Sovereignty,50.0
x-ai/grok-4.3,Reformists,Security Function,25.0
