Model,Group,Axis Name,median,q1,q3,n
anthropic/claude-sonnet-4-5,Hardline-Principlists,Economic Costs,0.0,0.0,25.0,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Negotiation Readiness,0.0,0.0,0.0,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuclear Sovereignty,100.0,100.0,100.0,121
anthropic/claude-sonnet-4-5,Hardline-Principlists,Security Function,100.0,100.0,100.0,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Economic Costs,25.0,25.0,37.5,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Negotiation Readiness,0.0,0.0,25.0,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuclear Sovereignty,100.0,100.0,100.0,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Security Function,100.0,100.0,100.0,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Economic Costs,75.0,75.0,100.0,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Negotiation Readiness,100.0,75.0,100.0,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuclear Sovereignty,75.0,75.0,75.0,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Security Function,75.0,25.0,75.0,120
anthropic/claude-sonnet-4-5,Reformists,Economic Costs,75.0,75.0,100.0,120
anthropic/claude-sonnet-4-5,Reformists,Negotiation Readiness,100.0,75.0,100.0,120
anthropic/claude-sonnet-4-5,Reformists,Nuclear Sovereignty,25.0,25.0,81.25,120
anthropic/claude-sonnet-4-5,Reformists,Security Function,25.0,25.0,75.0,120
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,25.0,0.0,75.0,120
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,25.0,0.0,25.0,120
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,100.0,100.0,100.0,119
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,100.0,100.0,100.0,120
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,50.0,0.0,100.0,118
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,25.0,0.0,25.0,120
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,100.0,100.0,100.0,120
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,100.0,100.0,100.0,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,75.0,75.0,75.0,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,75.0,75.0,100.0,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,75.0,75.0,100.0,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,75.0,75.0,75.0,119
