Model,Group,Axis Name,mean,sd,n
anthropic/claude-sonnet-4-5,Hardline-Principlists,Economic Costs,10.42,12.38,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Negotiation Readiness,1.25,5.47,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuclear Sovereignty,100.0,0.0,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Security Function,100.0,0.0,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Economic Costs,24.37,18.26,119
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Negotiation Readiness,31.67,25.26,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuclear Sovereignty,93.33,25.05,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Security Function,100.0,0.0,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Economic Costs,95.21,13.86,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Negotiation Readiness,98.33,6.26,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuclear Sovereignty,65.08,23.6,121
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Security Function,65.83,21.73,120
anthropic/claude-sonnet-4-5,Reformists,Economic Costs,92.71,13.9,120
anthropic/claude-sonnet-4-5,Reformists,Negotiation Readiness,93.8,19.17,121
anthropic/claude-sonnet-4-5,Reformists,Nuclear Sovereignty,60.0,29.6,120
anthropic/claude-sonnet-4-5,Reformists,Security Function,43.54,27.02,120
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,23.81,33.32,105
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,23.13,33.24,107
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,91.38,25.13,116
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,91.45,26.57,114
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,53.36,38.64,119
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,38.53,35.77,109
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,90.87,26.56,115
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,89.58,26.25,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,73.54,24.96,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,76.88,25.35,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,78.75,23.52,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,62.92,31.59,120
deepseek/deepseek-v3.2,Reformists,Economic Costs,67.29,28.59,120
deepseek/deepseek-v3.2,Reformists,Negotiation Readiness,69.79,28.6,120
deepseek/deepseek-v3.2,Reformists,Nuclear Sovereignty,71.04,27.69,120
deepseek/deepseek-v3.2,Reformists,Security Function,42.71,34.51,120
google/gemini-2.5-flash,Hardline-Principlists,Economic Costs,23.54,35.1,120
