Model,Group,Axis Name,median,q1,q3,n
anthropic/claude-sonnet-4-5,Hardline-Principlists,Economic Costs,0.0,0.0,25.0,720
anthropic/claude-sonnet-4-5,Hardline-Principlists,Negotiation Readiness,0.0,0.0,0.0,720
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuclear Sovereignty,100.0,100.0,100.0,721
anthropic/claude-sonnet-4-5,Hardline-Principlists,Security Function,100.0,100.0,100.0,720
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Economic Costs,25.0,25.0,25.0,719
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Negotiation Readiness,25.0,0.0,25.0,719
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuclear Sovereignty,100.0,100.0,100.0,720
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Security Function,100.0,100.0,100.0,720
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Economic Costs,100.0,75.0,100.0,720
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Negotiation Readiness,100.0,100.0,100.0,720
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuclear Sovereignty,75.0,75.0,75.0,721
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Security Function,75.0,25.0,75.0,720
anthropic/claude-sonnet-4-5,Reformists,Economic Costs,100.0,75.0,100.0,720
anthropic/claude-sonnet-4-5,Reformists,Negotiation Readiness,100.0,100.0,100.0,721
anthropic/claude-sonnet-4-5,Reformists,Nuclear Sovereignty,75.0,25.0,75.0,720
anthropic/claude-sonnet-4-5,Reformists,Security Function,25.0,25.0,75.0,720
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,25.0,0.0,75.0,705
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,0.0,0.0,25.0,707
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,100.0,100.0,100.0,715
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,100.0,100.0,100.0,713
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,75.0,25.0,75.0,717
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,25.0,0.0,75.0,708
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,100.0,100.0,100.0,715
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,100.0,100.0,100.0,720
