Test,Gruppe 1,Gruppe 2,Statistik,p-Wert,Signifikant (alpha=0.05)
Kruskal-Wallis,alle,-,168.128,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,deepseek/deepseek-v3.2,1988005.0,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,google/gemini-2.5-flash,1748710.5,0.0053,Nein
Mann-Whitney-U,anthropic/claude-sonnet-4-5,openai/gpt-5.4,1720259.0,0.0001,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,x-ai/grok-4.3,2082755.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,google/gemini-2.5-flash,1584841.0,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,openai/gpt-5.4,1557955.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,x-ai/grok-4.3,1932458.5,0.005,Ja
Mann-Whitney-U,google/gemini-2.5-flash,openai/gpt-5.4,1814075.0,0.4908,Nein
Mann-Whitney-U,google/gemini-2.5-flash,x-ai/grok-4.3,2112969.0,0.0,Ja
Mann-Whitney-U,openai/gpt-5.4,x-ai/grok-4.3,2155230.5,0.0,Ja
