Test,Gruppe 1,Gruppe 2,Statistik,p-Wert,Signifikant (alpha=0.05)
Kruskal-Wallis,alle,-,157.2086,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,deepseek/deepseek-v3.2,1726022.0,0.0005,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,google/gemini-2.5-flash,1624224.0,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,openai/gpt-5.4,1505086.0,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,x-ai/grok-4.3,1904601.0,0.0617,Nein
Mann-Whitney-U,deepseek/deepseek-v3.2,google/gemini-2.5-flash,1711203.0,0.0001,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,openai/gpt-5.4,1592023.0,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,x-ai/grok-4.3,1953735.0,0.0004,Ja
Mann-Whitney-U,google/gemini-2.5-flash,openai/gpt-5.4,1721028.0,0.0002,Ja
Mann-Whitney-U,google/gemini-2.5-flash,x-ai/grok-4.3,2033772.5,0.0,Ja
Mann-Whitney-U,openai/gpt-5.4,x-ai/grok-4.3,2145449.5,0.0,Ja
