Test,Gruppe 1,Gruppe 2,Statistik,p-Wert,Signifikant (α=0.05)
Kruskal-Wallis,alle,-,139.9464,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,deepseek/deepseek-v3.2,1908230.5,0.0002,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,google/gemini-2.5-flash,1673650.5,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,openai/gpt-5.4,1716821.0,0.0001,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,x-ai/grok-4.3,2012784.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,google/gemini-2.5-flash,1489935.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,openai/gpt-5.4,1528339.0,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,x-ai/grok-4.3,1833859.5,0.1617,Nein
Mann-Whitney-U,google/gemini-2.5-flash,openai/gpt-5.4,1836657.0,0.5105,Nein
Mann-Whitney-U,google/gemini-2.5-flash,x-ai/grok-4.3,2075058.5,0.0,Ja
Mann-Whitney-U,openai/gpt-5.4,x-ai/grok-4.3,2083116.0,0.0,Ja
