Modell,Sprache,Mittelwert,Standardfehler,n
anthropic/claude-sonnet-4-5,AR,68.11,0.61,3840
anthropic/claude-sonnet-4-5,EN,64.59,0.6,3841
anthropic/claude-sonnet-4-5,FA,66.17,0.62,3840
deepseek/deepseek-v3.2,AR,67.28,0.58,3840
deepseek/deepseek-v3.2,EN,69.14,0.57,3834
deepseek/deepseek-v3.2,FA,65.69,0.61,3783
google/gemini-2.5-flash,AR,72.05,0.61,3828
google/gemini-2.5-flash,EN,71.15,0.6,3835
google/gemini-2.5-flash,FA,72.59,0.6,3812
openai/gpt-5.4,AR,73.44,0.57,3835
openai/gpt-5.4,EN,75.16,0.56,3840
openai/gpt-5.4,FA,72.7,0.6,3840
x-ai/grok-4.3,AR,56.85,0.74,3833
x-ai/grok-4.3,EN,57.38,0.76,3838
x-ai/grok-4.3,FA,58.77,0.75,3836
