Model,Group,Axis Name,mean,sd,n
anthropic/claude-sonnet-4-5,Hardline-Principlists,Economic Costs,7.29,11.41,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Negotiation Readiness,1.88,6.61,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuclear Sovereignty,100.0,0.0,120
anthropic/claude-sonnet-4-5,Hardline-Principlists,Security Function,100.0,0.0,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Economic Costs,22.29,17.69,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Negotiation Readiness,27.94,31.08,119
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuclear Sovereignty,100.0,0.0,120
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Security Function,100.0,0.0,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Economic Costs,91.88,11.76,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Negotiation Readiness,95.83,9.36,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuclear Sovereignty,65.62,20.0,120
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Security Function,56.67,24.2,120
anthropic/claude-sonnet-4-5,Reformists,Economic Costs,90.0,15.68,120
anthropic/claude-sonnet-4-5,Reformists,Negotiation Readiness,88.33,26.91,120
anthropic/claude-sonnet-4-5,Reformists,Nuclear Sovereignty,59.38,31.1,120
anthropic/claude-sonnet-4-5,Reformists,Security Function,33.75,19.08,120
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,25.62,37.02,120
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,19.17,31.55,120
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,91.67,26.59,120
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,97.5,10.94,120
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,47.71,41.76,120
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,43.91,40.91,119
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,93.33,21.68,120
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,90.21,25.58,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,73.54,24.96,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,78.33,25.91,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,74.58,29.52,120
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,65.83,32.24,120
deepseek/deepseek-v3.2,Reformists,Economic Costs,69.79,28.6,120
deepseek/deepseek-v3.2,Reformists,Negotiation Readiness,70.62,27.44,120
