Test,Gruppe 1,Gruppe 2,Statistik,p-Wert,Signifikant (α=0.05)
Kruskal-Wallis,alle,-,93.71,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,deepseek/deepseek-v3.2,1864751.0,0.4523,Nein
Mann-Whitney-U,anthropic/claude-sonnet-4-5,google/gemini-2.5-flash,1675574.0,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,openai/gpt-5.4,1657822.5,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,x-ai/grok-4.3,1919501.0,0.0122,Nein
Mann-Whitney-U,deepseek/deepseek-v3.2,google/gemini-2.5-flash,1642373.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,openai/gpt-5.4,1623419.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,x-ai/grok-4.3,1881881.5,0.1759,Nein
Mann-Whitney-U,google/gemini-2.5-flash,openai/gpt-5.4,1822009.5,0.4988,Nein
Mann-Whitney-U,google/gemini-2.5-flash,x-ai/grok-4.3,2036193.0,0.0,Ja
Mann-Whitney-U,openai/gpt-5.4,x-ai/grok-4.3,2051432.0,0.0,Ja
