Test,Gruppe 1,Gruppe 2,Statistik,p-Wert,Signifikant (α=0.05)
Kruskal-Wallis,alle,-,760.6669,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,deepseek/deepseek-v3.2,67151849.5,0.0155,Nein
Mann-Whitney-U,anthropic/claude-sonnet-4-5,google/gemini-2.5-flash,60597899.0,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,openai/gpt-5.4,59181162.5,0.0,Ja
Mann-Whitney-U,anthropic/claude-sonnet-4-5,x-ai/grok-4.3,71404047.0,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,google/gemini-2.5-flash,58502137.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,openai/gpt-5.4,57094125.5,0.0,Ja
Mann-Whitney-U,deepseek/deepseek-v3.2,x-ai/grok-4.3,69069698.5,0.0,Ja
Mann-Whitney-U,google/gemini-2.5-flash,openai/gpt-5.4,64642629.5,0.0019,Ja
Mann-Whitney-U,google/gemini-2.5-flash,x-ai/grok-4.3,74540264.0,0.0,Ja
Mann-Whitney-U,openai/gpt-5.4,x-ai/grok-4.3,76196506.5,0.0,Ja
